"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","crexclat"
"remanei_genome_00002324_latens_genome_00001657",6130.73619604665,7.31083198380469,0.522515540890258,13.9916067785248,1.75403783719591e-44,2.80062069891399e-43,1
"remanei_genome_00002719_latens_genome_00001173",26.468032154043,4.88571916774467,0.676300122527522,7.22418790859504,5.04105132697476e-13,3.12806086962186e-12,1
"remanei_genome_00002359_latens_genome_00001604",30.1740247060296,-0.722978787080836,0.442279002482649,-1.634666766956,0.102118922811475,0.172441259496036,0
"remanei_genome_00001901_latens_genome_00002143",6.12924730171154,0.121821489985916,0.598287525204544,0.203616964843562,0.838652834844862,0.888172467821422,0
"remanei_genome_00002424_latens_genome_00001524",0.825102392342216,5.16210373528315,2.84509125014885,1.81438951563085,0.0696177787348537,0.124660292419205,0
"remanei_genome_00002425_latens_genome_00001523",2.99811491753339,-1.64950771316261,0.937382866714322,-1.75969475412368,0.0784595757483609,0.138316290291321,0
"remanei_genome_00002484_latens_genome_00001453",17.8985625716681,1.31966570750519,0.55522045554218,2.37683193105074,0.0174620424713333,0.0369901098446227,1
"remanei_genome_00002481_latens_genome_00001457",6.79454916617087,1.02498133567756,0.76201470661914,1.3450939027478,0.178594911988787,0.274421842108414,0
"remanei_genome_00003259_latens_genome_00000874",35.4397063236286,7.33304599021952,0.681356742531182,10.7624178825587,5.17931115597226e-27,5.37879274573825e-26,1
"remanei_genome_00001948_latens_genome_00002090",0.858431413201882,1.30263367803381,1.66326042615506,0.783180828179199,0.4335209315299,0.552254915907741,0
"remanei_genome_00002358_latens_genome_00001609",8.32507789635809,0.947690925443327,0.578547961631015,1.63805075515544,0.101411106449749,0.171375325623865,0
"remanei_genome_00003018_latens_genome_00000839",354.527369917039,7.44994029394573,0.437570246217368,17.0257012636204,5.29542574446957e-65,1.19507524196197e-63,1
"remanei_genome_00003260_latens_genome_00000555",2.15471787623735,-0.407010489044452,1.23960351521403,-0.32833925045314,0.742655170071759,0.81908612925861,0
"remanei_genome_00002356_latens_genome_00001613",12.8904396742168,-1.70422982657117,0.565917406917304,-3.01144620352737,0.00260006469955841,0.00668332097734883,-1
"remanei_genome_00001912_latens_genome_00002131",32.2235155474218,-0.677535652318357,0.301290558031972,-2.24877824497394,0.0245266081457663,0.0501588934178115,0
"remanei_genome_00002580_latens_genome_00001323",5.68962251188487,-0.184976248932939,0.709756210039817,-0.260619415957715,0.794386015232108,0.857960851388358,0
"remanei_genome_00002670_latens_genome_00001221",400.714548418185,4.76219781113408,0.293937268967164,16.2014086470473,4.92850529590149e-59,9.98189579387107e-58,1
"remanei_genome_00018230_latens_genome_00011463",5053.98213217882,-0.45175187754381,0.549378970917219,-0.822295539979598,0.410908714473919,0.529782258085049,0
"remanei_genome_00019535_latens_genome_00021773",2513.01846251072,-0.98907063079216,0.590492888283898,-1.67499160517685,0.0939358787651757,0.160725150364268,0
"remanei_genome_00002465_latens_genome_00001473",24406.632625293,-0.0276418243574291,0.527900221444491,-0.0523618351244349,0.958240383536987,0.971479944895029,0
"remanei_genome_00002469_latens_genome_00001467",4779.13464280869,-0.272568648816288,0.576500971895995,-0.472798246843998,0.636357124973649,0.736259561402488,0
"remanei_genome_00019575_latens_genome_00021821",7146.74459255246,-1.05550181368224,0.511565689566906,-2.06327718064093,0.0390863008463852,0.075485523912737,0
"remanei_genome_00013235_latens_genome_00009642",8830.71532909848,0.0202909706854373,0.538481708998787,0.0376818197282221,0.969941371456501,0.980234269279588,0
"remanei_genome_00013236_latens_genome_00009645",7558.55820349517,0.176042721211371,0.587028464086704,0.299887879347141,0.764262679961988,0.836254829410819,0
"remanei_genome_00019563_latens_genome_00021811",4479.03878972322,-2.08258695997594,0.59873261848126,-3.47832554247439,0.000504556750876488,0.00146206043391659,-1
"remanei_genome_00019557_latens_genome_00021804",6276.86560757599,-0.876723805882581,0.512208783442642,-1.71165320514415,0.0869605970652905,0.150886018528585,0
"remanei_genome_00019558_latens_genome_00021805",9194.15995569059,-0.17185043588495,0.714443786878714,-0.24053737892485,0.809913689487783,0.868397978317094,0
"remanei_genome_00002405_latens_genome_00001556",21.644307766778,-3.17816047663649,0.572902882808904,-5.54746811720372,2.89835990749409e-08,1.3342192950919e-07,-1
"remanei_genome_00001093_latens_genome_00003029",21.9957476012289,1.98595860869403,0.359549704558799,5.52346054944193,3.32386951280198e-08,1.5233078436145e-07,1
"remanei_genome_00009394_latens_genome_00013979",164.768203367022,-1.61325765842071,0.435601807802414,-3.70351460789271,0.000212632931191987,0.000651731339887242,-1
"remanei_genome_00001462_latens_genome_00002638",1095.19265536486,8.31437158194056,0.33665879405277,24.6967307220774,1.15957456527086e-134,8.02616869198819e-133,1
"remanei_genome_00001687_latens_genome_00002375",4.74794257632145,-1.12649136333258,1.15842919139476,-0.972430055889977,0.330836645526446,0.448689473399567,0
"remanei_genome_00009033_latens_genome_00014412",84374.9073474558,-0.0971363977679851,0.60169229711702,-0.161438659317079,0.871747920254704,0.911527104281277,0
"remanei_genome_00010241_latens_genome_00013016",2.40370631488709,-3.36909605437466,1.04150916149653,-3.23482133324075,0.00121718871074647,0.00331798822734543,-1
"remanei_genome_00010240_latens_genome_00013015",1.98951090118868,-3.79195676229013,1.23853017441437,-3.06165876344767,0.00220114227378486,0.00574367245479656,-1
"remanei_genome_00002206_latens_genome_00001796",172.776830099307,1.60023474622281,0.260344202527368,6.14661179579978,7.91555386242775e-10,4.05687241468244e-09,1
"remanei_genome_00009029_latens_genome_00014415",242.311018562998,-5.07133481596516,0.252546771688528,-20.0807746702055,1.08686633644261e-89,3.56832302341109e-88,-1
"remanei_genome_00002627_latens_genome_00001272",30.7579870524056,-0.524651855069591,0.339264184685133,-1.5464404400851,0.121998233873201,0.200365983910145,0
"remanei_genome_00002836_latens_genome_00001030",8.30891259924883,2.31983768238308,0.660990362960398,3.50963919049161,0.000448715133391507,0.00131271172356888,1
"remanei_genome_00003469_latens_genome_00000327",8.55102886778465,-0.104128077767325,0.90227767452456,-0.115405801015961,0.90812348114065,0.936580806816947,0
"remanei_genome_00001292_latens_genome_00002818",362.891404995901,2.51379906841142,0.360347202572493,6.97604713028321,3.03600916232383e-12,1.81269591070184e-11,1
"remanei_genome_00014136_latens_genome_00018578",74.4935300440726,6.15246780819047,0.537248111545063,11.4518183982009,2.30263833463603e-30,2.61367942159701e-29,1
"remanei_genome_00003376_latens_genome_00000460",4.33677145185759,2.05002167252401,0.833943125288573,2.45822719842511,0.0139624810848745,0.030313370413532,1
"remanei_genome_00003330_latens_genome_00018566",3.0410485195101,2.91218217568567,1.01376389003821,2.87264342743153,0.00407053260573839,0.0100531748813417,1
"remanei_genome_00003067_latens_genome_00000124",0.133629282844427,0.656370046804141,2.99359422878667,0.219258188198129,0.826448930403384,0.878666368761412,0
"remanei_genome_00003622_latens_genome_00000123",54.7199817339078,4.4637081876989,0.451598252379071,9.88424592917172,4.87236190730717e-23,4.44470622902994e-22,1
"remanei_genome_00002860_latens_genome_00001001",346.155770609589,-9.66566781249029,0.779767060292869,-12.3955836360413,2.76127955387786e-35,3.55498196063968e-34,-1
"remanei_genome_00013337_latens_genome_00009764",8.04813470796052,2.3980915151487,0.900605507054233,2.66275466490601,0.00775038983261063,0.0179187731873787,1
"remanei_genome_00002112_latens_genome_00001917",27.9023540515579,-2.23509893984029,0.574137378325769,-3.89296886810962,9.90248641728216e-05,0.000318797860492124,-1
"remanei_genome_00003825_latens_genome_00020939",12.4402189255252,-3.01447786220273,0.725713083432546,-4.15381495941146,3.26977622923389e-05,0.000111778399201,-1
"remanei_genome_00009000_latens_genome_00014447",12.1120596360353,-0.240744999990783,0.451722629699983,-0.532948725970794,0.594069074254251,0.699628094113848,0
"remanei_genome_00002593_latens_genome_00001307",131.34650678631,-2.36596080148686,0.412722205059541,-5.73257453193132,9.89175444119838e-09,4.70848913989407e-08,-1
"remanei_genome_00003117_latens_genome_00000730",0.231486486787635,-1.32338082740395,2.99289273943624,-0.442174492244994,0.658362942757122,0.75398700173498,0
"remanei_genome_00008006_latens_genome_00017733",2.95655265833157,0.174069056216609,0.790151316865135,0.220298381463458,0.825638780607202,0.878152676910377,0
"remanei_genome_00002154_latens_genome_00001867",5.98413308701172,-0.808610924425051,0.753916691491645,-1.07254678607154,0.283474511463036,0.398127365330577,0
"remanei_genome_00002596_latens_genome_00001304",13.0113832343206,-2.11877585174448,0.60371883957143,-3.50954072138707,0.00044888131744679,0.00131291185595197,-1
"remanei_genome_00002352_latens_genome_00001620",36.1177350267833,4.79013082213709,0.51169061654988,9.36138101268102,7.87011905953034e-21,6.69284095828837e-20,1
"remanei_genome_00002547_latens_genome_00001362",39.5427662362598,0.510172873703553,0.340242194536845,1.49944034542226,0.13375943362774,0.216528688046084,0
"remanei_genome_00017275_latens_genome_00021659",2862.81006362116,-0.0584391826910041,0.140613137148579,-0.415602580783431,0.677700837888214,0.769635220835837,0
"remanei_genome_00018541_latens_genome_00011825",1130.42243045232,-0.869055550678757,0.217606773440228,-3.99369714894223,6.50509422131309e-05,0.000214831296615328,-1
"remanei_genome_00000278_latens_genome_00022448",5792.91942432326,3.96705959960313,0.191753166615621,20.6883655150024,4.4090720182505e-95,1.54986960892847e-93,1
"remanei_genome_00013438_latens_genome_00009897",2526.57174812611,0.696821974634497,0.198192144383502,3.51589098953462,0.000438280896861435,0.0012852666265681,1
"remanei_genome_00013629_latens_genome_00021521",630.036703288977,2.77249210037268,0.227565832169079,12.1832529688057,3.81746206487785e-34,4.80420624247233e-33,1
"remanei_genome_00004077_latens_genome_00018120",102.694014957998,-6.66841168407729,0.563774608062819,-11.8281518690431,2.79221894623046e-32,3.37175503686894e-31,-1
"remanei_genome_00014014_latens_genome_00022212",298.800336070542,0.367899988301893,0.327205479723277,1.12436988712118,0.260856141324229,0.372834088951756,0
"remanei_genome_00010942_latens_genome_00003571",4.17452825280326,-3.41177571963964,1.44225235259896,-2.36558859723236,0.018001435571813,0.0380247407359297,-1
