"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"latens_genome_00000183",83.4472066878963,3.65278034018013,0.996826581459641,3.66440904377912,0.000247910318458631,0.00093024655547016,1
"latens_genome_00007178",1.64139221806655,3.01048310718399,2.01296559987253,1.49554622660945,0.134771945028377,0.232452475791019,0
"latens_genome_00010801",317.218807714608,1.83320769963006,0.436137130340623,4.20328280281554,2.63071574755463e-05,0.000112866191749924,1
"latens_genome_00013352",20.1132938435132,3.47744515086255,1.36506552959569,2.5474565692773,0.0108511359163758,0.0281569082790597,1
"latens_genome_00015419",1099.58135800817,-2.1533153484478,0.614377380908591,-3.50487406496526,0.000456823317795884,0.0016197028979116,-1
"latens_genome_00021463",1.66270090277943,0.78378658428714,2.04347852006973,0.383555088340441,0.701308232780756,0.780898562454479,0
"latens_genome_00007546",881.765103775887,5.54988074686132,0.841600810158376,6.59443370285839,4.26882115553121e-11,4.25814910264239e-10,1
"latens_genome_00007547",786.106562315241,6.0265159433349,0.985281191045444,6.11654418871063,9.56263791773312e-10,7.68219972317217e-09,1
"latens_genome_00007549",493.773276436498,5.21367918513971,1.00214977682873,5.20249498197586,1.96630670461478e-07,1.17683456271195e-06,1
"latens_genome_00007550",161.110128585414,4.50621558133395,0.870586306649224,5.17606990474937,2.26608580537881e-07,1.34282411338536e-06,1
"latens_genome_00007551",1.56849509392851,3.60139747607714,2.23305118995943,1.61276977987351,0.106794533932416,0.194570863191936,0
"latens_genome_00007552",3.16554015685168,4.64697655942938,1.3189685803862,3.52318973213807,0.000426386004280388,0.00153268482619707,1
"latens_genome_00007555",2223.98587170993,4.8703774029314,0.556552360461885,8.7509778934177,2.11511809478095e-18,5.75408263512e-17,1
"latens_genome_00012688",162.890125334873,-1.45257958178686,0.503739645037404,-2.88359194297484,0.00393167854212942,0.0116490574626953,-1
"latens_genome_00015729",137.991641422147,1.73530842685847,0.449100695874867,3.8639628991846,0.000111562173688969,0.000442185171873165,1
"latens_genome_00016945",1.128056639946,0.89724174946641,2.79904892301987,0.320552364086006,0.748549641878422,0.817530950117218,0
"latens_genome_00018851",2.46759068740575,0.358711439884512,1.48747095897323,0.241155255987063,0.809434788118166,0.868920902437388,0
"latens_genome_00019522",220.938860058599,-0.694153321395744,0.445028102321071,-1.55979660110304,0.118807954942772,0.209444951497052,0
"latens_genome_00021715",8.11372272608687,-1.29588250120468,0.863748257600325,-1.50030114654577,0.13353641260192,0.230653803585134,0
"latens_genome_00023051",1.82623583655879,-1.35917334272123,1.25285809476095,-1.08485817221029,0.277984476094888,0.404810386870996,0
"latens_genome_00002826",1655.34802196023,-0.124214812057417,0.348385804731858,-0.35654383838349,0.721433327942905,0.797373678252685,0
"latens_genome_00009503",89.2810023160479,-1.25625573309669,0.537858366073281,-2.33566271780466,0.0195088270326837,0.046150327980479,-1
"latens_genome_00010447",230.230714943715,-0.549929173004261,0.53602829422339,-1.02593310638762,0.304923116240388,0.432969122348451,0
"latens_genome_00011894",171.471897718282,-0.922508146133581,0.467939681005542,-1.97142534300838,0.0486752446358595,0.103122597927653,0
"latens_genome_00013327",432.318093563276,-1.00755378454799,0.451641732792182,-2.23086953971015,0.0256897719523709,0.0592366569014948,0
"latens_genome_00014006",789.141353052126,-0.665935806936003,0.353634706231414,-1.88311779132963,0.0596844066471774,0.120883645950375,0
"latens_genome_00015133",14.3078264084815,-0.76688351483909,0.742315170562682,-1.03309691792744,0.301558545554997,0.428700212623909,0
"latens_genome_00016850",50.0127749343226,-1.4167787871859,0.501532824853782,-2.82489742839654,0.00472957537178402,0.0137235945785749,-1
"latens_genome_00021992",53.4096521581708,-0.586710886189986,0.43020222750457,-1.36380252978526,0.17262972389022,0.278579653263258,0
"latens_genome_00011551",19.759900232919,4.23617557690994,0.840314503329781,5.04117870169313,4.62673155493834e-07,2.63723698631485e-06,1
"latens_genome_00013094",1.9772043100032,3.144884543465,2.97439112005132,1.05732044527175,0.290365365393692,0.417111004134525,0
"latens_genome_00022083",1.29254538177243,2.28553722593249,2.81609344910682,0.811598502406728,0.4170220509037,0.541404983656973,0
"latens_genome_00002879",45.2325663002623,-0.27841180758906,0.428478791389253,-0.64976800061998,0.515842091684688,0.632646499740339,0
"latens_genome_00011688",129.349361200785,-2.28385553938624,0.438375709587763,-5.20981315669593,1.89030898056215e-07,1.13703510036829e-06,-1
"latens_genome_00022697",4.30340095867616,-1.33012233171583,1.11532707030805,-1.19258499782351,0.233031944148798,0.353983803484912,0
"latens_genome_00023032",3.05247620361628,1.96818638752052,1.35256974405346,1.45514595175117,0.145628860032775,0.245517951351031,0
"latens_genome_00023033",4.55129235696949,-0.271485080014838,1.02229232735997,-0.265565017704806,0.790574230217663,0.854077033908432,0
"latens_genome_00000451",39.7394625570896,-0.337435562984762,0.413507146400489,-0.816033207459854,0.414481143260766,0.541040270973977,0
"latens_genome_00000452",2.42472721251982,-2.41006278268181,1.46415273304086,-1.64604602258701,0.0997542841253919,0.183419167585398,0
"latens_genome_00000453",2.06681352965019,-4.05444718543087,1.64107034387219,-2.47061145219662,0.0134882281251063,0.0336373597697425,-1
"latens_genome_00000454",2.87276295587258,-0.188408827985886,1.15033971045023,-0.163785381200259,0.869900100375727,0.91259458382975,0
"latens_genome_00000455",6090.65231583854,6.4050994740568,0.81107164257729,7.89708225244287,2.85507972011257e-15,5.02578003672757e-14,1
"latens_genome_00001205",44.1915557227247,0.37022710917126,0.334402580788752,1.10712993990061,0.268237752631198,0.394899909067112,0
"latens_genome_00001138",181.235726242141,-1.93875721059442,0.378420163737986,-5.12329256306965,3.00245929810673e-07,1.75314330723598e-06,-1
"latens_genome_00009867",576.74767423544,-2.57934401685676,0.382905177788081,-6.7362474222908,1.6252943623798e-11,1.72004768660493e-10,-1
"latens_genome_00017112",53.8902889656051,-2.56753929464446,0.468433323431404,-5.48112007881192,4.22641493794725e-08,2.7494666743059e-07,-1
"latens_genome_00020930",40.9507705060254,-1.74798330270561,0.437857518898244,-3.99212809478288,6.5482982191653e-05,0.000267519213936548,-1
"latens_genome_00021367",72.0619406962319,-1.42946802548997,0.32360767233983,-4.41728718962153,9.99473945248623e-06,4.6191903956085e-05,-1
"latens_genome_00022906",7.85711808046336,-1.81257844295722,0.901643501393297,-2.01030500431297,0.0443989175670845,0.0952428392971329,0
"latens_genome_00019259",8.52275767455678,-1.14105149492881,0.727485017916083,-1.56848796446339,0.116767296594983,0.20645561894268,0
"latens_genome_00019541",1.85495988505031,2.37204765666376,1.6095727507606,1.47371260823274,0.140558986676899,0.23967109266702,0
"latens_genome_00003987",843.23225845515,-0.620079771459679,0.666952321089438,-0.929721288692428,0.352515409063782,0.483354205833479,0
"latens_genome_00004864",299.524016218049,-0.474839686297531,0.67723306514025,-0.701146637308968,0.483211507887382,0.604393077263528,0
"latens_genome_00015092",416.395761577939,-0.52805164997035,0.683842852744297,-0.772182743230044,0.440006200792408,0.565115260030592,0
"latens_genome_00022226",8619.31054858462,-1.3195306021076,0.778079098736959,-1.69588233927575,0.0899081648817585,0.168683500569694,0
"latens_genome_00020670",3.72281261218605,-1.80895398073606,1.1936070698711,-1.51553557816259,0.129636827452169,0.224891713710501,0
"latens_genome_00020671",3.86843613619804,-3.19498290630441,1.2841632936316,-2.48798803247913,0.0128468055964097,0.0323059376027362,-1
"latens_genome_00020672",185.375938980122,-3.56643903165753,0.371101588498031,-9.61041165598906,7.22595106286596e-22,2.9825735938795e-20,-1
"latens_genome_00021598",40.2307097820012,-4.80777303776814,0.730639688690866,-6.58022430506416,4.6973907516383e-11,4.60883338500905e-10,-1
"latens_genome_00021599",275.841032120065,-2.71859941869061,0.3470499846935,-7.83345206337226,4.7465386804128e-15,7.47579842165016e-14,-1
"latens_genome_00021600",2558.97987518085,-2.89067863155743,0.289717907637427,-9.97756284770297,1.91102986427617e-23,9.53126144807741e-22,-1
"latens_genome_00021302",4.80956933568424,-5.16885783271319,1.22163712364182,-4.23109099476635,2.32560560723828e-05,0.0001004963867099,-1
"latens_genome_00021319",3.59406209102513,-3.59062218669956,1.3706511042999,-2.61964709723382,0.00880208023792714,0.0237299325333306,-1
